# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
B41J,打字机,"TYPEWRITERS；SELECTIVE PRINTING MECHANISMS, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME；CORRECTION OF TYPOGRAPHICAL ERRORS"
B41K,模印机,STAMPS；STAMPING OR NUMBERING APPARATUS OR DEVICES
B41L,办公或其他商业用的复写、复制或印刷设备或装置,"APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES；ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES"
B41M,印刷、复制、标记或拷贝工艺,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES；COLOUR PRINTING"
B41N,印版或箔,"PRINTING PLATES OR FOILS；MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING, INKING, DAMPING, OR THE LIKE；PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM"
B42B,单页,"PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES, OR SIGNATURES, OR PERMANENTLY ATTACHING OBJECTS THERETO"
B42C,装订,BOOKBINDING
B42D,书,BOOKS；BOOK COVERS；LOOSE LEAVES；PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES；PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR；DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR；MOVABLE-STRIP WRITING OR READING APPARATUS
B42F,单页的临时装订,SHEETS TEMPORARILY ATTACHED TOGETHER；FILING APPLIANCES；FILE CARDS；INDEXING
B43K,书写或绘图器具,IMPLEMENTS FOR WRITING OR DRAWING
B43L,书写或绘图用品,ARTICLES FOR WRITING OR DRAWING UPON；ACCESSORIES FOR WRITING OR DRAWING
B43M,不包括在其他类目中的办公用品,BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR
B44B,用于艺术制品的机器、设备或工具,"MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK, e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING OR INLAYING"
B44C,产生装饰效果的工艺,PRODUCING DECORATIVE EFFECTS；MOSAICS；TARSIA WORK；PAPERHANGING
B44D,不包含在其他类目中的绘画或艺术图,"PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR；PRESERVING PAINTINGS；SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES"
B44F,特种图样或图画,SPECIAL DESIGNS OR PICTURES
B60B,车轮,VEHICLE WHEELS；CASTORS；AXLES FOR WHEELS OR CASTORS；INCREASING WHEEL ADHESION
B60C,车用轮胎,VEHICLE TYRES；TYRE INFLATION；TYRE CHANGING；CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL；DEVICES OR ARRANGEMENTS RELATED TO TYRES
B60D,车辆的连接件,VEHICLE CONNECTIONS
B60F,轨道和道路两用车辆,"VEHICLES FOR USE BOTH ON RAIL AND ON ROAD；VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA, e.g. AMPHIBIOUS VEHICLES"
B60G,车辆悬架装置的配置,VEHICLE SUSPENSION ARRANGEMENTS
B60H,特别适用于车辆客室或货室的加热、冷却、通风或其他空气处理设备的布置或装置,"ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES"
B60J,车辆的窗、挡风玻璃、非固定车顶、门或类似装置,"WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES；REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES"
B60K,车辆动力装置或传动装置的布置或安装,"ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES；ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES；AUXILIARY DRIVES FOR VEHICLES；INSTRUMENTATION OR DASHBOARDS FOR VEHICLES；ARRANGEMENTS IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES"
B60L,电动车辆动力装置,PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES；SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES；ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL；MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES；MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES；ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES
B60M,电动车辆的电源线路或沿路轨的装置,"POWER SUPPLY LINES, OR DEVICES ALONG RAILS, FOR ELECTRICALLY-PROPELLED VEHICLES"
B60N,用于车辆的特殊位置,SEATS SPECIALLY ADAPTED FOR VEHICLES；VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR
B60P,适用于货运或运输、装载或包容特殊货物或物体的车辆,"VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT, TO CARRY, OR TO COMPRISE SPECIAL LOADS OR OBJECTS"
B60Q,一般车辆照明或信号装置的布置,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL"
B60R,不包含在其他类目中的车辆、车辆配件或车辆部件,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR"
B60S,不包含在其他类目中的车辆保养、清洗、修理、支承、举升或调试,"SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES, NOT OTHERWISE PROVIDED FOR"
B60T,车辆制动控制系统或其部件,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF；BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL；ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL；PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES；VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES"
B60V,气垫车,AIR-CUSHION VEHICLES
B60W,不同类型或不同功能的车辆子系统的联合控制,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION；CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES；ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT
B61B,铁路系统,RAILWAY SYSTEMS；EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR
B61C,机车,LOCOMOTIVES；MOTOR RAILCARS
B61D,铁路车辆的种类或车体部件,BODY DETAILS OR KINDS OF RAILWAY VEHICLES
B61F,铁路车辆的悬架，如底架、转向架或轮轴,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES；RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH；PREVENTING DERAILING OF RAIL VEHICLES；WHEEL GUARDS, OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES"
B61G,专门适用于铁路车辆的连接器,COUPLINGS SPECIALLY ADAPTED FOR RAILWAY VEHICLES；DRAUGHT OR BUFFING APPLIANCES SPECIALLY ADAPTED FOR RAILWAY VEHICLES
B61H,特别适用于铁路车辆的制动器或其他减速装置,BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES；ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES
B61J,铁路车辆的移位或调车,SHIFTING OR SHUNTING OF RAIL VEHICLES
B61K,其他不包括的特别适用于铁路的辅助设备,"AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS, NOT OTHERWISE PROVIDED FOR"
B61L,铁路交通管理,GUIDING RAILWAY TRAFFIC；ENSURING THE SAFETY OF RAILWAY TRAFFIC
B62B,手动车辆，例如手推车或摇篮车,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS；SLEDGES"
B62C,畜拉车,VEHICLES DRAWN BY ANIMALS
B62D,机动车,MOTOR VEHICLES；TRAILERS
B62H,自行车架,CYCLE STANDS；SUPPORTS OR HOLDERS FOR PARKING OR STORING CYCLES；APPLIANCES PREVENTING OR INDICATING UNAUTHORISED USE OR THEFT OF CYCLES；LOCKS INTEGRAL WITH CYCLES；DEVICES FOR LEARNING TO RIDE CYCLES
B62J,自行车鞍座或座位,"CYCLE SADDLES OR SEATS；AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS"
B62K,自行车,"CYCLES；CYCLE FRAMES；CYCLE STEERING DEVICES；RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES；CYCLE AXLE SUSPENSIONS；CYCLE SIDECARS, FORECARS, OR THE LIKE"
B62L,专门适用于自行车的制动器,BRAKES SPECIALLY ADAPTED FOR CYCLES
B62M,乘骑者驱动的轮式车辆或滑橇,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES；POWERED PROPULSION OF SLEDGES OR CYCLES；TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES
B63B,船舶或其他水上船只,SHIPS OR OTHER WATERBORNE VESSELS；EQUIPMENT FOR SHIPPING
B63C,船只下水，拖出或进干船坞,"LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS；LIFE-SAVING IN WATER；EQUIPMENT FOR DWELLING OR WORKING UNDER WATER；MEANS FOR SALVAGING OR SEARCHING FOR UNDERWATER OBJECTS"
B63G,舰艇上的攻击或防御装置,OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS；MINE-LAYING；MINE-SWEEPING；SUBMARINES；AIRCRAFT CARRIERS
B63H,船舶的推进装置或操舵装置,MARINE PROPULSION OR STEERING
B63J,船上辅助设备,AUXILIARIES ON VESSELS
B64B,轻于空气的飞行器,LIGHTER-THAN-AIR AIRCRAFT
B64C,飞机,AEROPLANES；HELICOPTERS
B64D,用于与飞机配合或装到飞机上的设备,EQUIPMENT FOR FITTING IN OR TO AIRCRAFT；FLIGHT SUITS；PARACHUTES；ARRANGEMENT OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS IN AIRCRAFT
B64F,与飞机相关联的地面装置或航空母舰甲板装置,"GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS SPECIALLY ADAPTED FOR USE IN CONNECTION WITH AIRCRAFT；DESIGNING, MANUFACTURING, ASSEMBLING, CLEANING, MAINTAINING OR REPAIRING AIRCRAFT, NOT OTHERWISE PROVIDED FOR；HANDLING, TRANSPORTING, TESTING OR INSPECTING AIRCRAFT COMPONENTS, NOT OTHERWISE PROVIDED FOR"
B64G,宇宙航行,COSMONAUTICS；VEHICLES OR EQUIPMENT THEREFOR
B64U,无人驾驶飞行器[UAV],UNMANNED AERIAL VEHICLES [UAV]；EQUIPMENT THEREFOR
B65B,包装物件或物料的机械，装置或设备，或方法,"MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS；UNPACKING"
B65C,贴标签或签条的机械、装置或方法,"LABELLING OR TAGGING MACHINES, APPARATUS, OR PROCESSES"
B65D,用于物件或物料贮存或运输的容器，如袋、桶、瓶子、箱盒、罐头、纸板箱、板条箱、圆桶、罐、槽、料仓、运输容器,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS；ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR；PACKAGING ELEMENTS；PACKAGES"
B65F,家庭的或类似的垃圾的收集或清除,GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE
B65G,运输或贮存装置,"TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING, SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS"
B65H,搬运薄的或细丝状材料,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES"
B66B,升降机,ELEVATORS；ESCALATORS OR MOVING WALKWAYS
B66C,起重机,"CRANES；LOAD-ENGAGING ELEMENTS OR DEVICES FOR CRANES, CAPSTANS, WINCHES, OR TACKLES"
B66D,绞盘,"CAPSTANS；WINCHES；TACKLES, e.g. PULLEY BLOCKS；HOISTS"
B66F,不包含在其他类目中的卷扬、提升、牵引或推动,"HOISTING, LIFTING, HAULING, OR PUSHING, NOT OTHERWISE PROVIDED FOR, e.g. DEVICES WHICH APPLY A LIFTING OR PUSHING FORCE DIRECTLY TO THE SURFACE OF A LOAD"
B67B,将封闭件封装在瓶子、罐或类似容器上,"APPLYING CLOSURE MEMBERS TO BOTTLES, JARS, OR SIMILAR CONTAINERS；OPENING CLOSED CONTAINERS"
B67C,不包含在其他类目中的瓶子、罐、罐头、木桶、桶或类似容器的灌注液体或半液体或排空,"FILLING WITH LIQUIDS OR SEMILIQUIDS, OR EMPTYING, OF BOTTLES, JARS, CANS, CASKS, BARRELS, OR SIMILAR CONTAINERS, NOT OTHERWISE PROVIDED FOR；FUNNELS"
B67D,不包含在其他类目中的液体分配、输送或转送装置,"DISPENSING, DELIVERING, OR TRANSFERRING LIQUIDS, NOT OTHERWISE PROVIDED FOR"
B68B,马具,HARNESS；DEVICES USED IN CONNECTION THEREWITH；WHIPS OR THE LIKE
B68C,鞍座,SADDLES；STIRRUPS
B68F,皮革、帆布或类似材料制品的制作,"MAKING ARTICLES FROM LEATHER, CANVAS, OR THE LIKE"
B68G,用于家具罩面的方法、设备或机器,"METHODS, EQUIPMENT, OR MACHINES FOR USE IN UPHOLSTERING；UPHOLSTERY NOT OTHERWISE PROVIDED FOR"
B81B,微观结构的装置或系统,"MICROSTRUCTURAL DEVICES OR SYSTEMS, e.g. MICROMECHANICAL DEVICES"
B81C,专门适用于制造或处理微观结构的装置或系统的方法或设备,PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICROSTRUCTURAL DEVICES OR SYSTEMS
B82B,通过操纵单个原子或分子或作为离散单元的有限原子或分子集合形成的纳米结构,"NANOSTRUCTURES FORMED BY MANIPULATION OF INDIVIDUAL ATOMS OR MOLECULES, OR LIMITED COLLECTIONS OF ATOMS OR MOLECULES AS DISCRETE UNITS；MANUFACTURE OR TREATMENT THEREOF"
B82Y,纳米结构的特定用途或应用,SPECIFIC USES OR APPLICATIONS OF NANOSTRUCTURES；MEASUREMENT OR ANALYSIS OF NANOSTRUCTURES；MANUFACTURE  OR TREATMENT OF NANOSTRUCTURES
B99Z,本部其他未列入的技术主题,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
C01B,非金属元素,NON-METALLIC ELEMENTS；COMPOUNDS THEREOF
C01C,氨,AMMONIA；CYANOGEN；COMPOUNDS THEREOF
C01D,碱金属,"COMPOUNDS OF ALKALI METALS, i.e. LITHIUM, SODIUM, POTASSIUM, RUBIDIUM, CAESIUM, OR FRANCIUM"
C01F,金属铍、镁、铝、钙、锶、钡、镭、钍的化合物,"COMPOUNDS OF THE METALS BERYLLIUM, MAGNESIUM, ALUMINIUM, CALCIUM, STRONTIUM, BARIUM, RADIUM, THORIUM, OR OF THE RARE EARTH METALS"
C01G,含有不包含在C01D或C01F小类中之金属的化合物,COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES  OR
C02F,水、废水、污水或污泥的处理,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE"
C03B,玻璃、矿物或渣棉的制造、成型,"MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL；SUPPLEMENTARY PROCESSES IN THE MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL"
C03C,玻璃、釉或搪瓷釉的化学成分,"CHEMICAL COMPOSITION OF GLASSES, GLAZES OR VITREOUS ENAMELS；SURFACE TREATMENT OF GLASS；SURFACE TREATMENT OF FIBRES OR FILAMENTS MADE FROM GLASS, MINERALS OR SLAGS；JOINING GLASS TO GLASS OR OTHER MATERIALS"
C04B,石灰,"LIME；MAGNESIA；SLAG；CEMENTS；COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS；ARTIFICIAL STONE；CERAMICS；REFRACTORIES；TREATMENT OF NATURAL STONE"
C05B,磷肥,PHOSPHATIC FERTILISERS
C05C,氮肥,NITROGENOUS FERTILISERS
C05D,不包含在C05B、C05C小类中的无机肥料,"INORGANIC FERTILISERS NOT COVERED BY SUBCLASSES ,；FERTILISERS PRODUCING CARBON DIOXIDE"
C05F,不包含在C05B、C05C小类中的有机肥料,"ORGANIC FERTILISERS NOT COVERED BY SUBCLASSES , , e.g. FERTILISERS FROM WASTE OR REFUSE"
C05G,分属于C05大类下各小类中肥料的混合物,MIXTURES OF FERTILISERS COVERED INDIVIDUALLY BY DIFFERENT SUBCLASSES OF CLASS；MIXTURES OF ONE OR MORE FERTILISERS WITH ADDITIVES NOT HAVING A SPECIFIC FERTILISING ACTIVITY；FERTILISERS CHARACTERISED BY THEIR FORM
C06B,炸药或热剂的组合物,EXPLOSIVE OR THERMIC COMPOSITIONS；MANUFACTURE THEREOF；USE OF SINGLE SUBSTANCES AS EXPLOSIVES
C06C,起爆或点火装置,DETONATING OR PRIMING DEVICES；FUSES；CHEMICAL LIGHTERS；PYROPHORIC COMPOSITIONS
C06D,烟雾发生装置,MEANS FOR GENERATING SMOKE OR MIST；GAS-ATTACK COMPOSITIONS；GENERATION OF GAS FOR BLASTING OR PROPULSION (CHEMICAL PART)
C06F,火柴,MATCHES；MANUFACTURE OF MATCHES
C07B,有机化学的般方法,GENERAL METHODS OF ORGANIC CHEMISTRY；APPARATUS THEREFOR
C07C,无环或碳环化合物,ACYCLIC OR CARBOCYCLIC COMPOUNDS
C07D,杂环化合物,HETEROCYCLIC COMPOUNDS
C07F,含除碳、氢、卤素、氧、氮、硫、硒或碲以外的其他元素的无环,"ACYCLIC, CARBOCYCLIC, OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM"
C07G,未知结构的化合物,COMPOUNDS OF UNKNOWN CONSTITUTION
C07H,糖类,SUGARS；DERIVATIVES THEREOF；NUCLEOSIDES；NUCLEOTIDES；NUCLEIC ACIDS
C07J,甾族化合物,STEROIDS
C07K,肽,PEPTIDES
C08B,多糖类;其衍生物,POLYSACCHARIDES；DERIVATIVES THEREOF
C08C,橡胶的处理或化学改性,TREATMENT OR CHEMICAL MODIFICATION OF RUBBERS
C08F,仅用碳-碳不饱和键反应得到的高分子化合物,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS
C08G,用碳-碳不饱和键以外的反应得到的高分子化合物,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS
C08H,天然高分子化合物的衍生物,DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS
C08J,加工,"WORKING-UP；GENERAL PROCESSES OF COMPOUNDING；AFTER-TREATMENT NOT COVERED BY SUBCLASSES , , ,  or"
C08K,使用无机物或非高分子有机物作为配料,USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS
C08L,高分子化合物的组合物,COMPOSITIONS OF MACROMOLECULAR COMPOUNDS
C09B,有机染料或用于制造染料的有关化合物,ORGANIC DYES OR CLOSELY-RELATED COMPOUNDS FOR PRODUCING DYES；MORDANTS；LAKES
C09C,纤维状填料以外的无机材料的处理以增强它们的着色或填充性能,"TREATMENT OF INORGANIC MATERIALS, OTHER THAN FIBROUS FILLERS, TO ENHANCE THEIR PIGMENTING OR FILLING PROPERTIES；PREPARATION OF CARBON BLACK"
C09D,涂料组合物，例如色漆、清漆或天然漆,"COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS；FILLING PASTES；CHEMICAL PAINT OR INK REMOVERS；INKS；CORRECTING FLUIDS；WOODSTAINS；PASTES OR SOLIDS FOR COLOURING OR PRINTING；USE OF MATERIALS THEREFOR"
C09F,天然树脂,"NATURAL RESINS；FRENCH POLISH；DRYING-OILS；OIL DRYING AGENTS, i.e. SICCATIVES；TURPENTINE"
C09G,抛光组合物,POLISHING COMPOSITIONS；SKI WAXES
C09H,动物胶或明胶的制备,PREPARATION OF GLUE OR GELATINE
C09J,黏合剂,ADHESIVES；NON-MECHANICAL ASPECTS OF ADHESIVE PROCESSES IN GENERAL；ADHESIVE PROCESSES NOT PROVIDED FOR ELSEWHERE；USE OF MATERIALS AS ADHESIVES
C09K,不包含在其他类目中的各种应用材料,MATERIALS FOR APPLICATIONS NOT OTHERWISE PROVIDED FOR；APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
C10B,含碳物料的干馏生产煤气、焦炭、焦油或类似物,"DESTRUCTIVE DISTILLATION OF CARBONACEOUS MATERIALS FOR PRODUCTION OF GAS, COKE, TAR, OR SIMILAR MATERIALS"
C10C,焦油、焦油沥青、石油沥青、天然沥青的加工,"WORKING-UP TAR, PITCH, ASPHALT, BITUMEN；PYROLIGNEOUS ACID"
C10F,泥煤的干燥或加工,DRYING OR WORKING-UP OF PEAT
C10G,烃油裂化,"CRACKING HYDROCARBON OILS；PRODUCTION OF LIQUID HYDROCARBON MIXTURES, e.g. BY DESTRUCTIVE HYDROGENATION, OLIGOMERISATION, POLYMERISATION；RECOVERY OF HYDROCARBON OILS FROM OIL-SHALE, OIL-SAND, OR GASES；REFINING MIXTURES MAINLY CONSISTING OF HYDROCARBONS；REFORMING OF NAPHTHA；MINERAL WAXES"
C10H,乙炔的湿法生产,PRODUCTION OF ACETYLENE BY WET METHODS
C10J,由固态含碳物料通过包含氧气或蒸汽的部分氧化工艺生产含有一氧化碳和氢气的气体,PRODUCTION OF GASES CONTAINING CARBON MONOXIDE AND HYDROGEN FROM SOLID CARBONACEOUS MATERIALS BY PARTIAL OXIDATION PROCESSES INVOLVING OXYGEN OR STEAM；CARBURETTING AIR OR OTHER GASES
C10K,含一氧化碳可燃气体化学组合物的净化和改性,PURIFYING OR MODIFYING THE CHEMICAL COMPOSITION OF COMBUSTIBLE GASES CONTAINING CARBON MONOXIDE
C10L,不包含在其他类目中的燃料,FUELS NOT OTHERWISE PROVIDED FOR；NATURAL GAS；SYNTHETIC NATURAL GAS OBTAINED BY PROCESSES NOT COVERED BY SUBCLASSES  OR；LIQUEFIED PETROLEUM GAS；USE OF ADDITIVES TO FUELS OR FIRES；FIRE-LIGHTERS
C10M,润滑组合物,LUBRICATING COMPOSITIONS；USE OF CHEMICAL SUBSTANCES EITHER ALONE OR AS LUBRICATING INGREDIENTS IN A LUBRICATING COMPOSITION
C10N,引得表,INDEXING SCHEME ASSOCIATED WITH SUBCLASS
C11B,生产，例如通过压榨原材料或从废料中萃取，精制或保藏脂、脂肪物质例如羊毛脂、脂油或蜡,"PRODUCING, e.g. BY PRESSING RAW MATERIALS OR BY EXTRACTION FROM WASTE MATERIALS, REFINING OR PRESERVING FATS, FATTY SUBSTANCES, e.g. LANOLIN, FATTY OILS OR WAXES；ESSENTIAL OILS；PERFUMES"
C11C,从脂肪、油或蜡中获得的脂肪酸,"FATTY ACIDS OBTAINED FROM FATS, OILS OR WAXES；CANDLES；FATS, OILS OR FATTY ACIDS OBTAINED BY CHEMICAL MODIFICATION OF FATS, OILS OR FATTY ACIDS"
C11D,洗涤剂组合物,DETERGENT COMPOSITIONS；USE OF SINGLE SUBSTANCES AS DETERGENTS；SOAP OR SOAP-MAKING；RESIN SOAPS；RECOVERY OF GLYCEROL
C12C,啤酒,BEER；PREPARATION OF BEER BY FERMENTATION；PREPARATION OF MALT FOR MAKING BEER；PREPARATION OF HOPS FOR MAKING BEER
C12F,发酵溶液副产物的回收,RECOVERY OF BY-PRODUCTS OF FERMENTED SOLUTIONS；DENATURED ALCOHOL；PREPARATION THEREOF
C12G,葡萄酒,WINE；PREPARATION THEREOF；ALCOHOLIC BEVERAGES；PREPARATION OF ALCOHOLIC BEVERAGES NOT PROVIDED FOR IN SUBCLASSES  OR
C12H,酒精饮料的巴氏灭菌、杀菌、保藏、纯化、澄清或陈酿,"PASTEURISATION, STERILISATION, PRESERVATION, PURIFICATION, CLARIFICATION OR AGEING OF ALCOHOLIC BEVERAGES；METHODS FOR ALTERING THE ALCOHOL CONTENT OF FERMENTED SOLUTIONS OR ALCOHOLIC BEVERAGES"
C12J,醋,VINEGAR；PREPARATION OR PURIFICATION THEREOF
C12L,涂沥青或脱沥青装置,PITCHING OR DEPITCHING MACHINES；CELLAR TOOLS
C12M,酶学或微生物学装置,APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY
C12N,微生物或酶,"MICROORGANISMS OR ENZYMES；COMPOSITIONS THEREOF；PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS；MUTATION OR GENETIC ENGINEERING；CULTURE MEDIA"
C12P,发酵或使用酶的方法合成目标化合物或组合物或从外消旋混合物中分离旋光异构体,FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND OR COMPOSITION OR TO SEPARATE OPTICAL ISOMERS FROM A RACEMIC MIXTURE
C12Q,包含酶、核酸或微生物的测定或检验方法,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS；COMPOSITIONS OR TEST PAPERS THEREFOR；PROCESSES OF PREPARING SUCH COMPOSITIONS；CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES"
C12R,引得表,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES , RELATING TO MICROORGANISMS"
C13B,糖的生产,PRODUCTION OF SUCROSE；APPARATUS SPECIALLY ADAPTED THEREFOR
C13K,通过自然资源获得或用双糖、低聚糖或多糖自然发生水解获得的糖类,"SACCHARIDES OBTAINED FROM NATURAL SOURCES OR BY HYDROLYSIS OF NATURALLY OCCURRING DISACCHARIDES, OLIGOSACCHARIDES OR POLYSACCHARIDES"
C14B,小原皮、大原皮或皮革的一般机械处理或加工,"MECHANICAL TREATMENT OR PROCESSING OF SKINS, HIDES, OR LEATHER IN GENERAL；PELT-SHEARING MACHINES；INTESTINE-SPLITTING MACHINES"
C14C,使用化学药剂、酶类或微生物处理小原皮、大原皮或皮革的工艺，如鞣制、浸渍或整饰,"TREATING SKINS, HIDES OR LEATHER WITH CHEMICALS, ENZYMES OR MICROORGANISMS, e.g. TANNING, IMPREGNATING OR FINISHING；APPARATUS THEREFOR；COMPOSITIONS FOR TANNING"
C21B,铁或钢的冶炼,MANUFACTURE OF IRON OR STEEL
