# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
A44B,纽扣,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE"
A44C,个人装饰品,"PERSONAL ADORNMENTS, e.g. JEWELLERY；COINS"
A45B,手杖,WALKING STICKS；UMBRELLAS；LADIES' OR LIKE FANS
A45C,小包,PURSES；LUGGAGE；HAND CARRIED BAGS
A45D,理发或修面设备,"HAIRDRESSING OR SHAVING EQUIPMENT；EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING"
A45F,旅行或野营装备,TRAVELLING OR CAMP EQUIPMENT；SACKS OR PACKS CARRIED ON THE BODY
A46B,刷类,BRUSHES
A46D,各种刷子的制造刷毛,MANUFACTURE OF BRUSHES
A47B,桌子,TABLES；DESKS；OFFICE FURNITURE；CABINETS；DRAWERS；GENERAL DETAILS OF FURNITURE
A47C,椅子,CHAIRS；SOFAS；BEDS
A47D,儿童专用的家具,FURNITURE SPECIALLY ADAPTED FOR CHILDREN
A47F,商店、仓库、酒店、饭店等场所用的特种家具、配件或附件,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKE；PAYING COUNTERS"
A47G,家庭用具或餐桌用具,HOUSEHOLD OR TABLE EQUIPMENT
A47H,门和窗的装饰品,FURNISHINGS FOR WINDOWS OR DOORS
A47J,厨房用具,KITCHEN EQUIPMENT；COFFEE MILLS；SPICE MILLS；APPARATUS FOR MAKING BEVERAGES
A47K,卫生设备,"SANITARY EQUIPMENT；ACCESSORIES THEREFOR, e.g. TOILET ACCESSORIES"
A47L,家庭的洗涤或清扫,DOMESTIC WASHING OR CLEANING；SUCTION CLEANERS IN GENERAL
A61B,诊断,DIAGNOSIS；SURGERY；IDENTIFICATION
A61C,牙科,DENTISTRY；APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE
A61D,兽医用仪器、器械、工具或方法,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS"
A61F,可植入血管内的滤器,"FILTERS IMPLANTABLE INTO BLOOD VESSELS；PROSTHESES；DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS；ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES；FOMENTATION；TREATMENT OR PROTECTION OF EYES OR EARS；BANDAGES, DRESSINGS OR ABSORBENT PADS；FIRST-AID KITS"
A61G,专门适用于病人或残疾人的运输工具、专用运输工具或起居设施,"TRANSPORT, PERSONAL CONVEYANCES OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS；OPERATING TABLES OR CHAIRS；CHAIRS FOR DENTISTRY；FUNERAL DEVICES"
A61H,理疗装置，例如用于定位或刺激体内反射点的装置,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY；ARTIFICIAL RESPIRATION；MASSAGE；BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY"
A61J,专用于医学或医药目的的容器,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES；DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS；DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY；BABY COMFORTERS；DEVICES FOR RECEIVING SPITTLE
A61K,医用、牙科用或化妆用的配制品,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES"
A61L,材料或消毒的一般方法或装置,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL；DISINFECTION, STERILISATION OR DEODORISATION OF AIR；CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES；MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES"
